Item,Mean,Var,Mixed_Means,Mixed_Stds,Raw_Distrib,Discrete_Distrib,Sentence
12200:93,2.9,6.49,[6.66666667 1.28571429],[0.3333340833022763  0.4948721654264763],[6  7  1  1  1  1  3  1  1  7],[0.6 0.  0.1 0.  0.  0.1 0.2],"other than that i'm not sure what, what individuals can do  other than like i said  get involved  through a group or an organization."
145844:39,3.1666666666666665,4.972222222222222,[2.00127605 6.66728678],[0.7469565256930417  0.333179470102698],[2  3  7  1  4  3  1  2  6  1  1  7],[0.33333333 0.16666667 0.16666667 0.08333333 0.         0.08333333 0.16666667],"go to work when i wanted  to  or not."
93263:156,3.3333333333333335,6.444444444444445,[5.98882683 1.19828778],[0.877738391835155  0.2819314973455721],[7  6  1  1  4  2  1  1  7],[0.44444444 0.11111111 0.         0.11111111 0.         0.11111111 0.22222222],"i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know ,"
86575:41,2.5,1.85,[1.68767789 4.26350931],[0.4852541135543512  0.3881763254571601],[4  2  4  3  1  1  2  2  5  1],[0.3 0.3 0.1 0.2 0.1 0.  0. ],"a lot of my travel has been sort of based  around conferences or business meetings."
60448:27,4.0,2.0,[4.33331202 1.        ],[0.7453777744630471  0.0007071067811865475],[4  3  5  4  6  3  4  1  6  4],[0.1 0.  0.2 0.4 0.1 0.2 0. ],"and she would sit like on my neck or my shoulder while i was working, and things like that. yeah, much more than you would think."
14202:59,3.5384615384615383,5.171597633136094,[2.1112226  6.75004819],[0.6188073513354768  0.3061673603884183],[3  1  2  6  7  3  7  3  1  3  2  1  7],[0.23076923 0.15384615 0.30769231 0.         0.         0.07692308 0.23076923],"so, i don't, i don't know if you're familiar with him or not."
159321:28,2.3,2.81,[1.5 5.5],[0.3535540978595283  0.3535540978595281],[2  2  1  1  2  5  1  6  2  1],[0.4 0.4 0.  0.  0.1 0.1 0. ],"and she was in a nursing home for four or five years before she died."
119672:89,2.5,2.25,[3.61019011 1.52264455],[1.0300108100546446  0.4015902540502299],[1  2  3  1  2  6  4  3  1  2],[0.3 0.3 0.2 0.1 0.  0.1 0. ],"and i, well, i can't think of a time that i've been fishing  that i haven't run into one or two of them ."
158077:187,4.4,5.04,[2.66666679 7.        ],[0.6666672257279501  0.0007071067811865475],[2  4  7  7  3  7  7  1  3  3],[0.1 0.1 0.3 0.1 0.  0.  0.4],"and i think that the people who are strongly in favor of the death penalty are really working from that gut level. uh, you know, whether it be a biblical force, uh, you know, the eye for an eye, a tooth for a tooth, a life for a knife, life type logic or just, uh, uh, some sort of anger at putting peop-, putting, uh, murderers up in federal pens for the rest of their life, but not  both, uh, while we foot the bill."
57956:30,5.181818181818182,5.057851239669421,[6.11111064 1.        ],[0.84619797396386  0.0007071067811865475],[6  7  4  1  4  7  6  1  7  7  7],[0.18181818 0.         0.         0.18181818 0.         0.18181818 0.45454545],"uh, you know whether it was justified or not, i know, that  they probably felt like we were going in for a good cause."
118743:60,5.6,3.04,[6.11111111 1.        ],[0.618640889325308  0.0007071067811865475],[5  5  6  1  7  6  7  7  7  5],[0.1 0.  0.  0.  0.3 0.2 0.4],"and you know, we'll just have  to wait and see whether that's approved  or not."
136418:78,1.2222222222222223,0.1728395061728395,[1. 2.],[0.0007071067811865475  0.0007071067811865475],[1  2  1  1  1  2  1  1  1],[0.77777778 0.22222222 0.         0.         0.         0. 0.        ],"and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture , uh, you get little spider web cracks all around, uh, windows and doors."
51633:46,3.6,3.839999999999999,[4.71426661 1.        ],[0.8206716206950245  0.0007071067811865475],[7  1  1  5  5  4  5  3  1  4],[0.3 0.  0.1 0.2 0.3 0.  0.1],"it 's hard to tell how much  has been that or how much  is just her."
14262:12,1.7777777777777777,1.0617283950617284,[2.74977212 1.        ],[0.5864342283004979  0.0007071067811865475],[1  4  2  1  3  1  1  2  1],[0.55555556 0.22222222 0.11111111 0.11111111 0.         0. 0.        ],"at one time or another i've taken them all for a year."
14463:19,3.3,5.61,[5.99238909 1.49945359],[0.8740991752386158  0.35358964703171397],[7  2  6  1  7  1  2  1  2  4],[0.3 0.3 0.  0.1 0.  0.1 0.2],"and then they won five or six in a row."
162817:63,4.4,4.84,[3.02672715 6.81566142],[1.073013160459665  0.2742656099198988],[7  2  4  2  7  3  6  7  5  1],[0.1 0.2 0.1 0.1 0.1 0.1 0.3],"i, i know a lot of people around here sometimes have, like, mothers or grandmothers that  take care of their kids"
83258:73,2.111111111111111,3.209876543209877,[1.5 7. ],[0.35355409769934776  0.0007071067811865475],[1  2  1  1  2  7  2  2  1],[0.44444444 0.44444444 0.         0.         0.         0. 0.11111111],"when i have heard about england's elections , they are allowed  to run for what, a total of six or eight weeks. even for the higher offices in the, in the land."
158123:56,5.1,3.69,[5.99999974 1.49999987],[0.500001008514036  0.3535540978860765],[6  6  5  7  7  6  2  6  1  5],[0.1 0.1 0.  0.  0.2 0.4 0.2],"well, i, i don't know if that would really work that way or not."
24636:108,3.0,3.75,[2.00000134 6.        ],[0.7071089138853627  0.0007071067811865475],[2  4  1  2  2  6  6  1],[0.25  0.375 0.    0.125 0.    0.25  0.   ],"well, does your, the company say, for instance, does the company you worked for  bef-, before have the right  or do they have the ability  to say, hey, we've already drug tested her"
46151:81,5.8,3.9599999999999995,[2.00067235 6.75003108],[0.7080005744607396  0.3061743431763639],[7  6  7  7  7  7  1  7  6  3],[0.1 0.  0.1 0.  0.  0.2 0.6],"and they had  to kick. and, uh,  to know whether we were going  to win the game or lose a game because they got one point ahead of us."
134876:74,2.4,2.04,[1.33001268 3.97332901],[0.33541326020462586  0.524404183931227],[2  1  5  2  1  4  4  1  3  1],[0.4 0.2 0.1 0.2 0.1 0.  0. ],"well, i took a lot of time in  choosing this site because the, the house has no heating or air conditioning."
112163:28,2.111111111111111,2.54320987654321,[3.49958411 1.        ],[1.0608171979523422  0.0007071067811865475],[3  3  1  1  1  1  1  6  2],[0.55555556 0.11111111 0.22222222 0.         0.         0.11111111 0.        ],"unless they're caught  in the act or the-, the-, the child is very badly, you know, beaten  up, it comes down to a one word against the other that type thing."
35001:135,3.2,3.96,[1.6667468  5.50000743],[0.5271715073923562  0.3535735644656619],[5  2  1  1  6  2  6  3  5  1],[0.3 0.2 0.1 0.  0.2 0.2 0. ],"i, i have a hard time  sticking with something like, like on t v, because, it, like, it gets real aggravating if you miss it, for a week or two."
78977:102,3.1,4.89,[1.71428573 6.33333334],[0.4948722019505847  0.3333340842690461],[3  6  1  6  1  2  2  2  1  7],[0.3 0.3 0.1 0.  0.  0.2 0.1],"so what do you think  about, uh, what do you think  about what you see  on t v about them, like in the news or on the ads,"
25323:87,2.272727272727273,3.8347107438016534,[5.32155209 1.12384039],[0.6800499941057573  0.23292160716086452],[6  1  1  1  2  4  1  1  1  1  6],[0.63636364 0.09090909 0.         0.09090909 0.         0.18181818 0.        ],"um, one of the remarkable things about the weather in the summertime here is that quite often the average daytime high of say ninety-nine degrees is within five or six degrees of the all time record high."
82987:41,3.9,5.290000000000001,[1.24969011 5.66564528],[0.30606043139199784  0.6679806835911979],[4  2  1  6  5  6  1  1  6  7],[0.3 0.1 0.  0.1 0.1 0.3 0.1],"and i think a lot of people either, don't care, or don't realize it, you know."
56988:61,2.5,2.45,[4.66500001 1.5754043 ],[0.3386377892739487  0.52044975892536],[5  4  3  1  1  2  5  2  1  1],[0.4 0.2 0.1 0.1 0.2 0.  0. ],"perhaps that would be a solution if they were required  to vote at least for their first three or four years after they become of voting age. required  to register and vote for four years,"
165932:19,4.444444444444445,4.469135802469135,[6.1909966  2.24742381],[0.7022309147820744  0.3051280747171624],[5  2  5  7  3  2  7  2  7],[0.         0.33333333 0.11111111 0.         0.22222222 0. 0.33333333],"because there was an article or a story done awhile ago that, uh, trash, uh, the telephone books are the type of thing that don't break down over a long period of time."
174254:56,2.2,1.56,[1.88889527 5.        ],[0.6186482816846524  0.0007071067811865475],[5  2  2  3  1  1  1  3  3  1],[0.4 0.2 0.3 0.  0.1 0.  0. ],"i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am  in minneapolis ."
91270:46,3.1,5.089999999999999,[1.        5.1999945],[0.0007071067811865475  0.824627886181811],[4  6  1  5  4  1  7  1  1  1],[0.5 0.  0.  0.2 0.1 0.1 0.1],"i, i think the bad part is that most parents or kids don't know what to look for ."
81609:13,3.9,5.49,[5.65903601 1.24774815],[0.789898729918585  0.3052621954944797],[7  5  1  7  1  5  1  2  4  6],[0.3 0.1 0.  0.1 0.2 0.1 0.2],"and christopher reeve, or, mike douglas went after his throat, you dummy."
35840:44,3.888888888888889,4.320987654320987,[6.         2.20001613],[0.0007071067811865475  0.8246382562828943],[3  4  6  6  1  6  1  6  2],[0.22222222 0.11111111 0.11111111 0.11111111 0.         0.44444444 0.        ],"but, uh, uh, i don't know if it's their proposal or one that 's being seriously kicked  around."
103990:134,3.2,7.56,[6.5 1. ],[0.6123728439682123  0.0007071067811865475],[1  5  1  1  7  1  1  1  7  7],[0.6 0.  0.  0.  0.1 0.  0.3],"i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, or a good, a good feel for maybe what 's good jazz and what 's not,"
12168:38,2.3,2.8099999999999996,[1.77777778 7.        ],[0.44444500694408845  0.0007071067811865475],[1  2  2  7  3  2  2  1  1  2],[0.3 0.5 0.1 0.  0.  0.  0.1],"you should, uh, pursue that i think , or patent it, you know."
46988:18,4.2,4.760000000000001,[2.20701866 6.20023943],[0.8320903673356417  0.28297320829810796],[3  6  1  1  4  7  6  6  6  2],[0.2 0.1 0.1 0.1 0.  0.4 0.1],"i got off my pace or my cordless phone,"
85007:68,3.0,2.2,[2.23438914 4.52781641],[0.8346548994076728  0.39107792421585147],[3  1  1  3  4  5  1  5  3  4],[0.3 0.  0.3 0.2 0.2 0.  0. ],"i mean, people that  may have been close to the edge just go over because they see something or read something."
59796:50,5.363636363636363,2.4132231404958677,[5.99811658 2.49861038],[0.5796173385955452  0.3535706484269037],[6  3  6  5  7  2  6  7  7  5  5],[0.         0.09090909 0.09090909 0.         0.27272727 0.27272727 0.27272727],"now whether this person is made the moral decision whether he can take another human life or not, that's another trip,"
20118:86,2.7,1.81,[3.42849883 1.        ],[0.6389363946424628  0.0007071067811865475],[4  1  3  2  4  1  3  5  3  1],[0.3 0.1 0.3 0.2 0.1 0.  0. ],"you know, again, kind of having, uh, uh, within this century, come from a, uh, an immigrant family, or immigrant families on both sides."
168438:37,2.727272727272727,3.2892561983471067,[2.00000283 6.        ],[0.7453598652161479  0.0007071067811865475],[6  1  1  1  4  3  2  6  1  2  3],[0.36363636 0.18181818 0.18181818 0.09090909 0.         0.18181818 0.        ],"i've never had a, a punishment or a, a crime like a murder touch my immediate family"
85977:40,3.4,3.84,[5.4943556 2.082607 ],[0.8532701300740786  0.649955873093347],[6  7  2  5  3  1  3  4  1  2],[0.2 0.2 0.2 0.1 0.1 0.1 0.1],"i, i don't judge any war as good or bad,"
52123:56,1.3333333333333333,0.4444444444444444,[1.125 3.   ],[0.23385465686972226  0.0007071067811865475],[1  1  2  1  3  1  1  1  1],[0.77777778 0.11111111 0.11111111 0.         0.         0. 0.        ],"now, i, i also liked, uh, oh, gone with the wind or some of the classic, like the lawrence of arabia."
161931:92,2.6666666666666665,4.222222222222223,[5.28694931 1.32932335],[0.9197963742699609  0.3323186663809552],[1  2  1  4  5  1  7  1  2],[0.44444444 0.22222222 0.         0.11111111 0.11111111 0. 0.11111111],"i mean, i can't help but wonder if, if i grew up without a father, on the streets, and with like little or no money, wouldn't wouldn't i be in prison at this point."
138712:57,1.8888888888888888,2.0987654320987654,[1.14285531 4.49998125],[0.2474355141718067  0.35358592258083665],[5  1  2  1  4  1  1  1  1],[0.66666667 0.11111111 0.         0.11111111 0.11111111 0. 0.        ],"uh, i don't remember what they call it, sort of like a positive, negatives or some, some kind of word they use when a, uh, you get a, uh, a positive indication of drugs, but there's not really, there weren't really any there."
76731:61,3.3333333333333335,7.111111111111111,[1.5 7. ],[0.5400621877772719  0.0007071067811865475],[1  1  7  3  7  1  2  7  1],[0.44444444 0.11111111 0.11111111 0.         0.         0. 0.33333333],"and, so, i mean, you have  to find out whether there's a legitimate reason, or whether this is a warning signal."
45511:60,2.6,4.6400000000000015,[6.50000898 1.62510071],[0.35362314471366557  0.7017179278434139],[1  4  6  7  1  1  2  2  1  1],[0.5 0.2 0.  0.1 0.  0.1 0.1],"you know, you can't roll around and tussle around with it like you can a dog or a cat."
173602:32,3.7,5.61,[6.5        1.83333336],[0.35355409788742587  0.4859132265545],[7  6  2  2  6  3  1  7  2  1],[0.2 0.3 0.1 0.  0.  0.2 0.2],"you can buy pharmaceutical grade cocaine for what, ten or twenty dollars an ounce."
128813:122,5.0,4.444444444444445,[3.27346824 6.61197343],[1.258399529632016  0.35736465513646354],[6  6  2  7  5  7  1  7  4],[0.11111111 0.11111111 0.         0.11111111 0.11111111 0.22222222 0.33333333],"if they're used to the northern weather then the southern weather they might kind of feel like they need  to go out and play all the time, not be in  studying. if you're in florida or california."
1131:129,3.3333333333333335,3.5555555555555562,[3.99967466 1.        ],[1.1340473121076107  0.0007071067811865475],[3  5  7  1  5  2  1  3  3],[0.22222222 0.11111111 0.33333333 0.         0.22222222 0. 0.11111111],"are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded  on a day-to-day basis or either on a growing frequency ."
123090:99,3.0,5.0,[6.5002595  1.83414834],[0.35359797830038986  0.755677460324747],[2  1  1  4  2  6  7  1],[0.375 0.25  0.    0.125 0.    0.125 0.125],"i think, uh, it 's in everyone's nature to some degree to want  to get out and explore something they haven't , or experience something, you know, indifferent."
23317:39,3.4444444444444446,7.135802469135803,[1.66666671 7.        ],[0.7817363493740402  0.0007071067811865475],[1  4  1  7  7  1  1  2  7],[0.44444444 0.11111111 0.         0.11111111 0.         0. 0.33333333],"i guess the schools will get into it, too, sooner or later."
18802:68,5.2,4.16,[2.33276557 6.42730277],[0.3331928150424902  0.6404636143373319],[5  7  5  7  7  3  2  7  2  7],[0.  0.2 0.1 0.  0.2 0.  0.5],"and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty  or leave the ones if they're still in good shape."
57651:59,1.3636363636363635,0.4132231404958677,[1.20000018 3.        ],[0.28284386905823855  0.0007071067811865475],[2  1  3  2  1  1  1  1  1  1  1],[0.72727273 0.18181818 0.09090909 0.         0.         0. 0.        ],"i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that  were not gas guzzlers."
52191:66,4.9,5.09,[6.28631653 1.67066779],[0.49467038469706526  0.6713187461361475],[6  6  7  7  1  6  5  3  1  7],[0.2 0.  0.1 0.  0.1 0.3 0.3],"and, a lot of times, what i wind up  doing  is, picking say an actor or an actress, and seeing like all,"
95445:55,2.0,1.6,[1.        2.9996548],[0.0007071067811865475  0.7747529154771448],[1  2  1  3  1  1  3  2  5  1],[0.5 0.2 0.2 0.  0.1 0.  0. ],"we use it more for just writing programs when we need to or, um, doing research,, looking at the speech signal and then doing writing, and also as a just as a terminal,"
167079:57,2.8181818181818183,5.0578512396694215,[6.33333333 1.5       ],[0.333334083737835  0.5000005090388367],[3  1  6  1  2  1  6  7  2  1  1],[0.45454545 0.18181818 0.09090909 0.         0.         0.18181818 0.09090909],"like for petty, for theft and, and stuff like that or manslaughter, you know, i don't think they should do that."
93546:68,3.5,7.25,[1.33333333 6.75      ],[0.33333408333248954  0.30618703434338945],[2  1  2  1  7  7  1  6  7  1],[0.4 0.2 0.  0.  0.  0.1 0.3],"you, i mean, you can be as busy as you want  to be, or as laid back as you want  to be."
88038:32,1.9,3.0899999999999994,[1.33333333 7.        ],[0.33333408333248954  0.0007071067811865475],[2  2  1  1  1  7  2  1  1  1],[0.6 0.3 0.  0.  0.  0.  0.1],"you can't come in afterward and really be successful or economical at it."
150350:31,2.727272727272727,4.016528925619834,[1.88922094 6.50016037],[0.7031901593115298  0.3535873368273697],[3  1  4  7  6  2  2  1  1  1  2],[0.36363636 0.27272727 0.09090909 0.09090909 0.         0.09090909 0.09090909],"do you do, uh, any anaerobic type, weight lifting or weight training type exercise."
153451:44,3.5,3.85,[1.24916437 4.99775967],[0.3058451415177476  0.5800428485052209],[6  1  1  5  5  4  2  1  6  4],[0.3 0.1 0.  0.2 0.2 0.2 0. ],"i guess i kind of do a similar thing. more, uh, medium or longer range."
56013:64,2.1,1.89,[1.26946456 3.88770408],[0.3147065810923687  0.6523705643258305],[1  2  1  2  1  1  1  3  4  5],[0.5 0.2 0.1 0.1 0.1 0.  0. ],"there definitely would have  to be a major p r campaign in each community, each county, uh, parish or however the state was divided  up ."
25625:63,1.6666666666666667,1.5555555555555554,[1.25 5.  ],[0.3061870343433895  0.0007071067811865475],[1  2  1  1  5  1  1  2  1],[0.66666667 0.22222222 0.         0.         0.11111111 0. 0.        ],"and never yet have i met anybody on the golf course that  wouldn't allow me to join their twosome or threesome."
151327:145,2.8,4.360000000000001,[5.2485559  1.16642037],[0.5881711989995213  0.2633682143674411],[1  4  2  5  1  1  6  6  1  1],[0.5 0.1 0.  0.1 0.1 0.2 0. ],"well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs."
30997:16,1.8888888888888888,3.432098765432098,[1.25 7.  ],[0.3061870343433895  0.0007071067811865475],[1  1  2  1  7  1  1  2  1],[0.66666667 0.22222222 0.         0.         0.         0. 0.11111111],"i read about one or two thick novels like that a year. you know,"
136335:21,3.5,7.05,[5.9999984 1.       ],[0.894429562902354  0.0007071067811865475],[7  1  1  5  7  1  7  4  1  1],[0.5 0.  0.  0.1 0.1 0.  0.3],"did you put them up originally or just going up and stopping leaks in them."
138826:8,3.1,5.489999999999999,[1.         5.19995182],[0.0007071067811865475  1.0392734378893136],[1  6  1  4  7  1  1  3  6  1],[0.5 0.  0.1 0.1 0.  0.2 0.1],"two or three years in with them you can start  buying stock."
52336:38,3.7,3.41,[6.55063662 3.13132986],[0.3674794730317527  1.0227223563212686],[3  4  1  3  6  1  3  5  7  4],[0.2 0.  0.3 0.2 0.1 0.1 0.1],"i've, we've seen that two or three times."
159476:33,2.8,4.36,[1.30436488 4.68130998],[0.3282905946240368  1.2688753099410972],[2  2  1  1  6  7  4  1  1  3],[0.4 0.2 0.1 0.1 0.  0.1 0.1],"and i haven't really gone out, and bought any or listened to much on the, on the radio except for classical."
110454:26,2.3,3.410000000000001,[1.77777779 7.        ],[0.728604646680862  0.0007071067811865475],[1  1  3  7  1  1  1  2  4  2],[0.5 0.2 0.1 0.1 0.  0.  0.1],"and they're not, um, high strung or over bred um."
170132:31,2.909090909090909,4.8099173553719,[1.28571429 5.75      ],[0.31943906512282727  0.3061870343433889],[2  6  1  1  5  2  6  1  6  1  1],[0.45454545 0.18181818 0.         0.         0.09090909 0.27272727 0.        ],"but for me, i only do that every week or, without even, i mean, maybe once a month."
14405:66,2.6666666666666665,3.5555555555555554,[1.71428571 6.        ],[0.49487216457946265  0.0007071067811865475],[6  3  2  1  6  1  1  2  2],[0.33333333 0.33333333 0.11111111 0.         0.         0.22222222 0.        ],"well, he could always get past, you know, he'd get past like six or seven tackles and just keep  spinning around and get on into the end zone."
138283:70,3.5555555555555554,3.802469135802469,[5.35453343 1.96661647],[0.8854843217773514  0.44312325320024915],[2  3  2  2  6  5  1  7  4],[0.11111111 0.33333333 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111],"and it 's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop or a dedicated room for that."
72683:22,2.3846153846153846,2.5443786982248517,[1.47352723 4.49187823],[0.38400517825717984  0.8326804932549392],[2  1  2  3  1  6  5  4  2  2  1  1  1],[0.38461538 0.30769231 0.07692308 0.07692308 0.07692308 0.07692308 0.        ],"have you ever read, uh, or heard of the book this present darkness."
107022:8,2.2,3.56,[1.66666668 7.        ],[0.7453563519219066  0.0007071067811865475],[1  1  7  1  1  1  2  3  4  1],[0.6 0.1 0.1 0.1 0.  0.  0.1],"my budget or philosophy, i guess, is spend as little as possible."
58865:50,2.3846153846153846,1.928994082840236,[2.08333423 6.        ],[0.6744355119983362  0.0007071067811865475],[2  3  2  6  1  2  4  2  3  1  3  1  1],[0.30769231 0.30769231 0.23076923 0.07692308 0.         0.07692308 0.        ],"and, um, the sticky buns, of course, would last, you know three or four days."
13356:76,5.545454545454546,2.429752066115703,[6.33921396 3.3095346 ],[0.636380482794872  0.3304422793400089],[3  4  7  5  7  3  7  7  7  5  6],[0.         0.         0.18181818 0.09090909 0.18181818 0.09090909 0.45454545],"and, and a lot of the buildings in downtown areas that, that  either need demolishing, or need fixing up,"
139715:64,3.8181818181818183,5.785123966942149,[5.82238546 1.39814297],[0.8690953349984087  0.346144244112411],[5  1  1  7  2  4  1  5  7  7  2],[0.27272727 0.18181818 0.         0.09090909 0.18181818 0. 0.27272727],"it was al-, almost always at least one cat, sometimes, you know, like fifteen or twenty."
153868:23,2.4545454545454546,4.975206611570248,[1.12499661 5.99995865],[0.23385193729373618  0.5774193328423848],[1  2  1  6  5  1  1  1  1  7  1],[0.63636364 0.09090909 0.         0.         0.09090909 0.09090909 0.09090909],"so, it's, no fee, or subscription either to read at my leisure"
172843:32,3.1,4.090000000000001,[1.8568212  5.99793678],[0.45163410406074644  0.5798430851744389],[5  2  1  2  2  6  2  7  3  1],[0.2 0.4 0.1 0.  0.1 0.1 0.1],"i'm, i'm five or six mumblex years before i'm eligible  to retire"
16299:25,2.5555555555555554,4.6913580246913575,[1.42857143 6.5       ],[0.3499278205456615  0.35355409769934765],[1  1  7  1  2  1  2  6  2],[0.44444444 0.33333333 0.         0.         0.         0.11111111 0.11111111],"you have  to cut each thing or, you know, use the melon baller and stuff."
70908:13,3.3,4.01,[2.14286674 6.        ],[0.7954058654666222  0.0007071067811865475],[3  6  2  4  1  6  1  3  1  6],[0.3 0.1 0.2 0.1 0.  0.3 0. ],"our first fifteen years or eighteen years of being married nothing worked."
164180:99,2.5,3.85,[1.62227417 5.96608798],[0.6063228231457951  0.7395644047265628],[7  1  1  2  3  1  1  3  5  1],[0.5 0.1 0.2 0.  0.1 0.  0.1],"uh, when i think of crime , i think of stuff that, that  affects other people like people getting, you know, killed or raped ."
48175:48,2.4545454545454546,3.15702479338843,[2.00000014 7.        ],[0.7745972018626471  0.0007071067811865475],[1  2  1  7  3  4  1  3  3  1  1],[0.45454545 0.09090909 0.27272727 0.09090909 0.         0. 0.09090909],"and we tried  to be a part of it but not overshadowing him or making him feel that we had  to be there all the time."
176348:81,2.0,0.6,[2.42852662 1.        ],[0.34996805890471155  0.0007071067811865475],[1  2  3  3  2  3  2  1  2  1],[0.3 0.4 0.3 0.  0.  0.  0. ],"but where it's not necessary , uh, in that regard, where it's not an immediate threat to life and limb or property  uh, i, i'd, i would seriously question it."
172615:77,3.8181818181818183,4.148760330578512,[4.87497122 1.        ],[0.8970717826665079  0.0007071067811865475],[4  4  7  1  1  5  4  1  7  4  4],[0.27272727 0.         0.         0.45454545 0.09090909 0. 0.18181818],"uh, uh, i really think that we need  to get into the mold where we talk about years rather than months or weeks ."
10220:22,5.9,1.2899999999999998,[4.32493281 6.56080057],[0.3336446324018405  0.3607893326917364],[7  7  6  6  5  4  7  6  7  4],[0.  0.  0.  0.2 0.1 0.3 0.4],"that, you know, may or may not happen."
108517:95,2.3333333333333335,5.111111111111111,[1.14285714 6.5       ],[0.24743684001360497  0.3535540976993477],[7  1  1  2  1  6  1  1  1],[0.66666667 0.11111111 0.         0.         0.         0.11111111 0.11111111],"uh, i, i guess i like the shows that  really have a real sense of, uh, i don't know, honesty or sort of a purity value, i guess ."
142177:29,4.454545454545454,6.429752066115703,[6.28569724 1.24999479],[0.6227283495061134  0.30618490906178436],[7  1  7  7  7  5  6  1  1  5  2],[0.27272727 0.09090909 0.         0.         0.18181818 0.09090909 0.36363636],"but uh, even my first, uh, eight or nine years of working, i camped almost all of the time because i was in construction."
170974:61,2.5454545454545454,4.247933884297521,[1.37380599 5.64538228],[0.3421117910352008  0.9017048437779879],[2  1  1  2  2  4  1  1  1  7  6],[0.45454545 0.27272727 0.         0.09090909 0.         0.09090909 0.09090909],"and so i'm just grateful that we don't have  to worry so much about my working or not."
77664:56,2.9,4.89,[1.166524  5.4990986],[0.2634338219952196  0.6135815494015039],[5  1  1  5  7  1  5  1  1  2],[0.5 0.1 0.  0.  0.3 0.  0.1],"so our whole family, we take family trips to different places  to visit fish stores or go to fish shows,"
86671:25,3.0,4.6,[1.33327003 5.4994975 ],[0.33331825446742425  0.6130476878600408],[2  5  5  1  2  7  1  1  5  1],[0.4 0.2 0.  0.  0.3 0.  0.1],"actually i paid about either a thousand dollars or a little bit,"
99525:67,2.7,3.0100000000000002,[1.         3.83310479],[0.0007071067811865475  0.9502784833444834],[1  1  1  3  5  1  2  6  3  4],[0.4 0.1 0.2 0.1 0.1 0.1 0. ],"and so they suggested that i might want a smaller school because i was used to a lot of one-on-one uh, or small group situations."
76530:72,2.6363636363636362,3.504132231404958,[1.66039607 5.3100328 ],[0.646615602864118  0.7262806736330235],[3  4  1  1  6  3  2  1  6  1  1],[0.45454545 0.09090909 0.18181818 0.09090909 0.         0.18181818 0.        ],"uh, and you can't expect in a classroom for a particular course an hour a day  to counteract, uh, sixteen or seventeen years of influence at home."
156661:22,2.4545454545454546,3.7024793388429744,[1.37229081 5.28793794],[0.3418294824053583  0.9190634889124679],[2  4  2  2  1  1  1  1  1  5  7],[0.45454545 0.27272727 0.         0.09090909 0.09090909 0. 0.09090909],"anyway, i dealt with two or three kids  today that  are going  to end up where somebody has, making a decision what to do  with them ."
74280:75,2.4,1.64,[3.54148162 1.49228552],[0.7073184656800132  0.3797191691485483],[2  1  3  5  2  4  1  2  3  1],[0.3 0.3 0.2 0.1 0.1 0.  0. ],"and you can't make up in a classroom of one hour a day, what 's not been done  for, fifteen or sixteen years at home,"
91264:39,2.7,2.41,[3.56285967 1.27973441],[0.9435554014376807  0.31887325662625204],[2  3  4  1  2  6  3  1  4  1],[0.3 0.2 0.2 0.2 0.  0.1 0. ],"but i think you can also get a bad education at public or private, you know,"
168511:31,2.3,3.8099999999999996,[1.77777828 7.        ],[0.8678065153091499  0.0007071067811865475],[1  4  1  1  2  4  7  1  1  1],[0.6 0.1 0.  0.2 0.  0.  0.1],"and i don't believe they do in germany or italy either"
68703:60,5.1,5.489999999999999,[6.57142856 1.66666667],[0.515079254344002  0.33333408389102953],[2  7  7  2  6  7  7  7  5  1],[0.1 0.2 0.  0.  0.1 0.1 0.5],"if i were ar-, let's say i were arrested  falsely or not and put  up for a jury"
24757:57,3.5,5.05,[5.5968524  1.39949688],[0.724741482621957  0.34634269365848547],[2  1  1  2  6  7  4  5  1  6],[0.3 0.2 0.  0.1 0.1 0.2 0.1],"even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider moving if i had a child."
92223:8,3.4,3.84,[1.22477938 4.76759817],[0.2951733514306425  0.8060910457080931],[5  2  4  1  7  4  4  1  5  1],[0.3 0.1 0.  0.3 0.2 0.  0.1],"two or three times a year you'll get a news bull-,"
50706:78,1.7777777777777777,0.6172839506172839,[2.39995179 1.        ],[0.34645362671498814  0.0007071067811865475],[2  2  2  1  3  1  1  1  3],[0.44444444 0.33333333 0.22222222 0.         0.         0. 0.        ],"it  would be great to have some of those organizations like you mentioned  that  were during the depression or coming out of the depression available for kids."
